alias,interdisciplinary,papers,start_year,sdi,h_index
A1,Interdisciplinary,4,2014,0.16072627288329513,2
A10,Interdisciplinary,22,2007,0.31366317780679026,9
A11,Interdisciplinary,224,2006,0.25499020539536277,57
A12,Interdisciplinary,57,1996,0.2681103119642019,20
A13,Interdisciplinary,61,2008,0.4893325151382864,17
A14,Interdisciplinary,33,2009,0.3606873406478893,16
A15,Interdisciplinary,8,2011,0.3250672850142873,4
A16,Interdisciplinary,52,2006,0.2921443731262918,20
A17,Interdisciplinary,50,2006,0.5176030575652074,16
A18,Interdisciplinary,14,2014,0.5026442035779545,6
A19,Interdisciplinary,12,2011,0.4217887032261927,5
A2,Interdisciplinary,27,2006,0.3528318789565696,7
A20,Interdisciplinary,14,2007,0.43818285454382894,7
A3,Interdisciplinary,43,2006,0.4266738344099197,14
A4,Interdisciplinary,45,2007,0.2847681362979021,14
A5,Interdisciplinary,53,2006,0.40263469806440205,15
A6,Interdisciplinary,15,2007,0.266453374363797,11
A7,Interdisciplinary,71,2007,0.3268561109066098,17
A8,Interdisciplinary,1,2011,0.14708015267175573,1
A9,Interdisciplinary,82,2006,0.496325200671546,32
B1,Non-Interdisciplinary,23,2009,0.0,0
B10,Non-Interdisciplinary,26,2006,0.3649833518980843,13
B11,Non-Interdisciplinary,35,2008,0.3044777076623176,13
B12,Non-Interdisciplinary,25,2006,0.39573095531715163,8
B13,Non-Interdisciplinary,0,2018,0.0,0
B14,Non-Interdisciplinary,0,2018,0.0,0
B15,Non-Interdisciplinary,0,2018,0.0,0
B16,Non-Interdisciplinary,3,1996,0.27279324111560943,3
B17,Non-Interdisciplinary,8,2017,0.4218071999330649,2
B18,Non-Interdisciplinary,6,2012,0.3738359244392206,5
B19,Non-Interdisciplinary,42,2012,0.49195186940072927,12
B2,Non-Interdisciplinary,19,2006,0.4734985078107562,8
B20,Non-Interdisciplinary,8,2009,0.5569945683929073,7
B3,Non-Interdisciplinary,195,1994,0.311992414237713,62
B4,Non-Interdisciplinary,15,2009,0.5593302310745705,9
B5,Non-Interdisciplinary,26,2006,0.4996098906445164,12
B6,Non-Interdisciplinary,26,2006,0.2436458431533093,14
B7,Non-Interdisciplinary,29,2007,0.4563567869552464,17
B8,Non-Interdisciplinary,206,2006,0.31522496820520757,34
B9,Non-Interdisciplinary,24,2012,0.44310401232400204,7
